城市名称,9月房价(元/㎡),9月房价同比(%),9月房价环比(%),9月租金(元/月/㎡),9月租金同比(%),9月租金环比(%),10月房价(元/㎡),10月房价同比(%),10月房价环比(%),10月租金(元/月/㎡),10月租金同比(%),10月租金环比(%),11月房价(元/㎡),11月房价同比(%),11月房价环比(%),11月租金(元/月/㎡),11月租金同比(%),11月租金环比(%),12月房价(元/㎡),12月房价同比(%),12月房价环比(%),12月租金(元/月/㎡),12月租金同比(%),12月租金环比(%),Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
东莞市,16397.0,8.07,0.69,29.38,19.07,1.77,15747.0,4.82,-3.97,28.81,16.47,-1.95,15468.0,1.28,-1.77,28.35,16.92,-1.61,15546.0,3.62,0.5,28.37,6.22,0.09,,,,
东营市,7823.0,24.45,2.07,12.29,2.12,-1.14,7907.0,25.29,1.07,12.5,5.25,1.69,7878.0,31.64,-0.37,12.39,-3.37,-0.9,7884.0,25.35,0.08,12.64,5.6,1.99,,,,
鄂尔多斯市,5812.0,14.3,2.32,18.33,32.7,-3.2,5861.0,10.72,0.83,16.69,25.2,-8.97,5949.0,12.61,1.51,16.6,26.53,-0.52,6065.0,14.59,1.95,16.95,12.92,2.15,,,,
鄂州市,6937.0,34.87,0.86,16.28,30.58,3.54,6894.0,30.22,-0.62,16.86,43.44,3.54,6621.0,21.02,-3.95,17.32,43.86,2.78,6561.0,7.92,-0.92,16.88,15.73,-2.59,,,,
恩施土家族苗族自治州,6135.0,21.89,-1.97,20.73,31.38,1.42,6444.0,27.26,5.04,19.49,41.97,-5.99,6500.0,25.36,0.86,19.71,40.94,1.13,6613.0,20.67,1.75,20.19,27.96,2.4,,,,
防城港市,6060.0,39.84,-2.67,20.24,,-2.04,6436.0,49.68,6.21,18.72,0.0,-7.5,6485.0,49.79,0.75,18.53,0.0,-1.02,6245.0,41.12,-3.69,18.0,35.64,-2.86,,,,
佛山市,12950.0,-4.03,-0.86,28.51,15.23,0.2,12752.0,-4.87,-1.53,28.41,9.98,-0.35,12798.0,-3.88,0.36,28.52,17.25,0.37,12660.0,-1.84,-1.07,28.04,8.8,-1.68,,,,
福州市,27023.0,2.57,-0.35,36.71,10.73,2.01,27295.0,0.73,1.01,36.73,11.73,0.07,27623.0,2.47,1.2,36.21,10.77,-1.44,26900.0,-2.76,-2.62,36.13,5.78,-0.22,,,,
抚顺市,4650.0,3.68,3.37,14.22,4.2,-0.64,4620.0,4.2,-0.65,14.07,11.59,-1.04,4732.0,7.17,2.43,14.64,16.39,4.05,4632.0,4.84,-2.11,14.66,14.94,0.13,,,,
抚州市,6911.0,14.72,3.68,16.8,28.21,7.51,6996.0,13.06,1.22,17.44,40.51,3.78,6857.0,9.46,-1.98,17.87,0.0,2.46,6726.0,6.45,-1.91,18.73,39.51,4.82,,,,
阜新市,3814.0,3.34,-0.43,13.12,5.2,-1.14,3843.0,3.58,0.77,13.31,7.66,1.47,3757.0,2.16,-2.24,14.09,19.81,5.87,3888.0,4.89,3.47,13.85,9.46,-1.74,,,,
阜阳市,8097.0,-3.65,0.45,16.01,8.53,5.67,8035.0,-6.25,-0.76,16.02,12.38,0.04,8007.0,-6.63,-0.35,15.52,9.77,-3.11,8054.0,-6.69,0.59,15.42,4.89,-0.67,,,,
甘南县,4042.0,10.31,-4.81,,,,4745.0,16.89,17.38,,0.0,0.0,4846.0,6.72,2.13,,0.0,0.0,4754.0,26.28,-1.89,,,,,,,
甘孜藏族自治州,8718.0,37.58,5.5,18.77,22.86,-13.46,8963.0,42.83,2.81,20.94,6.4,11.51,8840.0,42.13,-1.37,20.01,28.89,-4.43,8525.0,23.51,-3.56,24.71,,23.48,,,,
赣州市,8247.0,14.38,1.68,22.41,26.34,-0.42,8301.0,13.76,0.66,23.28,42.93,3.86,8154.0,9.21,-1.77,20.7,22.19,-11.08,7853.0,6.57,-3.68,22.54,26.35,8.89,,,,
固原市,4298.0,9.61,-1.0,14.24,7.76,-1.31,4259.0,5.06,-0.9,13.78,15.43,-3.21,4310.0,7.25,1.2,13.72,23.65,-0.47,4428.0,10.92,2.74,13.48,-7.35,-1.73,,,,
广安市,5929.0,16.33,0.14,13.77,-2.88,-5.94,5960.0,16.7,0.54,14.51,26.43,5.41,6101.0,18.46,2.36,13.81,10.37,-4.86,6027.0,13.88,-1.21,14.16,13.46,2.54,,,,
广元市,6555.0,30.73,-0.37,16.49,21.47,11.2,6555.0,26.8,0.0,14.99,16.85,-9.09,6505.0,28.0,-0.77,16.11,30.08,7.48,6286.0,22.21,-3.36,15.38,5.57,-4.53,,,,
广州市,32703.0,2.48,-2.53,52.08,17.88,-0.99,33037.0,7.78,1.02,52.22,17.66,0.27,32852.0,5.56,-0.56,52.13,18.19,-0.17,33036.0,6.56,0.56,53.77,18.34,3.15,,,,
贵港市,6246.0,32.69,1.71,18.72,21.38,2.63,6246.0,28.85,0.01,18.35,29.54,-1.99,6300.0,27.61,0.86,18.68,33.2,1.8,6273.0,25.73,-0.43,18.15,10.81,-2.83,,,,
贵阳市,10422.0,43.3,2.06,25.75,17.83,-0.72,10419.0,42.31,-0.03,25.4,17.04,-1.38,10175.0,37.86,-2.34,25.7,21.4,1.18,10099.0,33.06,-0.74,25.22,8.11,-1.85,,,,
桂林市,6917.0,12.61,0.13,20.14,16.89,-0.73,6994.0,14.53,1.11,20.58,30.9,2.19,6876.0,13.39,-1.68,20.41,26.99,-0.82,6960.0,11.39,1.23,19.24,4.41,-5.72,,,,
哈尔滨市,10213.0,16.99,1.93,32.56,11.24,-5.4,10428.0,18.71,2.1,31.65,13.68,-2.77,10794.0,23.66,3.51,29.56,7.13,-6.6,10696.0,21.29,-0.91,29.43,-5.23,-0.47,,,,
哈密地区,3481.0,1.62,-3.53,12.94,5.53,1.88,3635.0,5.29,4.4,12.94,12.62,-0.05,3533.0,3.56,-2.79,12.47,14.61,-3.61,3471.0,-2.91,-1.77,11.79,1.19,-5.48,,,,
海北藏族自治州,2925.0,10.85,7.31,14.88,29.21,,3023.0,-3.26,3.36,14.81,6.45,-0.44,2776.0,14.43,-8.16,14.81,-7.27,0.0,2945.0,-6.84,6.09,,,,,,,
