城市名称,9月房价(元/㎡),9月房价同比(%),9月房价环比(%),9月租金(元/月/㎡),9月租金同比(%),9月租金环比(%),10月房价(元/㎡),10月房价同比(%),10月房价环比(%),10月租金(元/月/㎡),10月租金同比(%),10月租金环比(%),11月房价(元/㎡),11月房价同比(%),11月房价环比(%),11月租金(元/月/㎡),11月租金同比(%),11月租金环比(%),12月房价(元/㎡),12月房价同比(%),12月房价环比(%),12月租金(元/月/㎡),12月租金同比(%),12月租金环比(%),Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
镇江市,9606.0,9.36,0.51,19.7,6.4,2.35,9438.0,8.81,-1.75,19.6,11.17,-0.49,9336.0,6.57,-1.08,19.63,9.73,0.16,9347.0,6.32,0.11,19.89,8.94,1.28,,,,
郑州市,14887.0,2.52,-1.53,29.94,7.44,2.23,14557.0,1.21,-2.22,29.83,10.12,-0.37,14330.0,-1.48,-1.56,29.58,13.24,-0.86,13832.0,-5.32,-3.47,29.18,7.05,-1.35,,,,
中山市,12785.0,12.41,0.37,23.89,14.28,1.19,12331.0,7.69,-3.54,23.53,10.35,-1.48,12151.0,5.41,-1.46,23.69,13.33,0.67,11762.0,-0.29,-3.21,23.53,6.97,-0.69,,,,
中卫市,3873.0,3.37,-0.77,9.93,-12.7,1.17,3788.0,3.26,-2.21,9.75,2.97,-1.8,3677.0,-3.01,-2.92,9.94,-12.93,1.94,3680.0,-1.05,0.08,10.46,5.23,5.17,,,,
重庆市,13700.0,32.59,0.41,29.54,26.83,1.22,13118.0,27.16,-4.25,29.75,27.99,0.71,12889.0,25.35,-1.74,28.0,19.44,-5.87,12785.0,22.03,-0.81,29.5,14.89,5.45,,,,
舟山市,16230.0,22.35,1.21,30.44,45.37,0.08,15646.0,17.53,-3.6,30.96,0.0,1.69,15750.0,15.78,0.66,31.07,0.0,0.38,15753.0,13.69,0.02,30.78,36.26,-0.96,,,,
周口市,5078.0,23.24,1.05,14.81,37.37,-0.97,5037.0,16.67,-0.8,14.28,27.63,-3.54,5010.0,12.83,-0.53,14.59,35.2,2.17,5007.0,12.05,-0.07,14.66,31.74,0.46,,,,
珠海市,23119.0,2.71,-0.87,34.7,9.25,0.79,23157.0,2.15,0.17,35.26,13.57,1.63,22883.0,1.25,-1.18,35.48,11.9,0.61,22934.0,0.02,0.22,35.09,5.89,-1.09,,,,
株洲市,6392.0,19.9,1.89,18.84,17.79,0.53,6387.0,18.96,-0.07,18.96,27.57,0.65,6230.0,13.18,-2.45,18.62,23.16,-1.81,6390.0,16.18,2.56,18.2,11.79,-2.25,,,,
驻马店市,5669.0,13.93,3.9,14.5,18.3,0.34,5624.0,12.14,-0.79,14.56,19.49,0.43,5551.0,9.55,-1.3,14.36,-2.34,-1.36,5245.0,4.36,-5.51,14.66,10.68,2.08,,,,
资阳市,7650.0,26.02,-4.24,14.68,29.65,4.86,7552.0,20.59,-1.28,14.76,29.23,0.59,7550.0,14.86,-0.03,13.79,21.79,-6.61,8089.0,11.51,7.14,13.9,16.83,0.85,,,,
淄博市,9604.0,32.79,-0.39,15.74,10.07,-1.55,9555.0,30.8,-0.51,15.53,11.53,-1.3,9423.0,27.93,-1.38,15.82,6.51,1.83,9226.0,14.96,-2.1,17.12,15.84,8.26,,,,
自贡市,6380.0,25.98,-1.27,16.42,17.14,0.24,6377.0,25.88,-0.04,16.62,18.3,1.18,6359.0,22.22,-0.29,16.05,18.85,-3.44,6317.0,20.98,-0.66,16.39,10.29,2.13,,,,
遵义市,5923.0,17.39,0.06,19.02,10.98,0.65,6043.0,17.28,2.04,19.63,14.12,3.19,5890.0,12.43,-2.54,19.71,6.63,0.42,5922.0,13.97,0.55,20.07,15.72,1.81,,,,
